candidate,party,constituency,votes,result,sex,province,district
Tila Bahadura Mahata Kshetri,CPN (Unified Marxist-Leninist),Nawalpur-2,"15,755",Declared,♂ Male,Gandaki Province,Nawalpur
Arjun Kumar Karki,CPN (Unified Marxist-Leninist),Sankhuwasabha-1,"15,636",Winner 🏆,♂ Male,Koshi Province,Sankhuwasabha
Dilip Kumar Agrawal,CPN (Unified Marxist-Leninist),Morang-2,"15,624",Declared,♂ Male,Koshi Province,Morang
Ashutosh Mishra,Nepali Congress,Rupandehi-4,"15,613",Declared,♂ Male,Lumbini Province,Rupandehi
Ujjvala Prasada Varal,Nepali Congress,Sindhuli-1,"15,570",Declared,♂ Male,Bagmati Province,Sindhuli
Jagadish‍vara Narasinha Ke.si.,Nepali Congress,Nuwakot-2,"15,503",Declared,♂ Male,Bagmati Province,Nuwakot
Ranju Neupane,Rastriya Swatantra Party,Kathmandu-1,"15,455",Winner 🏆,♀ Female,Bagmati Province,Kathmandu
Prem Kumar Khatri,Nepali Congress,Gorkha-1,"15,398",Declared,♂ Male,Gandaki Province,Gorkha
Gulav Jung Shah,CPN (Unified Marxist-Leninist),Salyan-1,"15,373",Declared,♂ Male,Karnali Province,Salyan
Narayan Prasad Goudel,Nepali Congress,Banke-1,"15,301",Declared,♂ Male,Lumbini Province,Banke
Shankar Pokhrael,CPN (Unified Marxist-Leninist),Dang-2,"15,287",Declared,♂ Male,Lumbini Province,Dang
Yogendra Chaudhary,Nepali Congress,Dang-1,"15,280",Declared,♂ Male,Lumbini Province,Dang
Upendra Yadav,Janata Samajwadi Party Nepal,Saptari-3,"15,239",Declared,♂ Male,Madhesh Province,Saptari
Pradipa Kumara Jnyavali,CPN (Unified Marxist-Leninist),Gulmi-1,"15,181",Declared,♂ Male,Lumbini Province,Gulmi
Bhagwati Chaudhary,CPN (Unified Marxist-Leninist),Sunsari-3,"15,083",Declared,♀ Female,Koshi Province,Sunsari
Padam Giri,CPN (Unified Marxist-Leninist),Parbat-1,"15,075",Declared,♂ Male,Gandaki Province,Parbat
Buddha Lama,Nepali Congress,Makwanpur-2,"15,056",Declared,♂ Male,Bagmati Province,Makwanpur
Bhumi Prasad Tripathi,CPN (Unified Marxist-Leninist),Dhading-1,"15,032",Declared,♂ Male,Bagmati Province,Dhading
Mingma Sherpa,Rastriya Swatantra Party,Sankhuwasabha-1,"15,000",Declared,♂ Male,Koshi Province,Sankhuwasabha
Bharat Bahadur Khadka,Nepali Congress,Doti-1,"14,897",Winner 🏆,♂ Male,Sudurpashchim Province,Doti
Gyan Bahadur Shahi,Rastriya Prajatantra Party,Jumla-1,"14,816",Winner 🏆,♂ Male,Karnali Province,Jumla
Surya Bahadur Tamang,Rastriya Swatantra Party,Udayapur-2,"14,802",Winner 🏆,♂ Male,Koshi Province,Udayapur
Lekh Nath Dahal,Nepali Communist Party,Sindhuli-2,"14,780",Declared,♂ Male,Bagmati Province,Sindhuli
Birendra Kumar Kanodiya,CPN (Unified Marxist-Leninist),Kapilvastu-3,"14,763",Declared,♂ Male,Lumbini Province,Kapilvastu
Sherdhan Rai,CPN (Unified Marxist-Leninist),Bhojpur-1,"14,750",Declared,♂ Male,Koshi Province,Bhojpur
Hasta Raj Sherma,Shram Sanskriti Party,Panchthar-1,"14,734",Declared,♂ Male,Koshi Province,Panchthar
