candidate,party,constituency,votes,result,sex,province,district
Umesha Kumara Kush‍vaha,आम जनता पार्टी(एकल चुनाव चिन्ह),Bara-4,833,Declared,♂ Male,Madhesh Province,Bara
Keshav Bahadur Thapa Magar,Rastriya Janamukti Party,Rupandehi-2,831,Declared,♂ Male,Lumbini Province,Rupandehi
Ramdatta Joshi,Rastriya Prajatantra Party,Tanahun-1,826,Declared,♂ Male,Gandaki Province,Tanahun
Prem Prasad Bhattarai,Rastriya Prajatantra Party,Sunsari-4,821,Declared,♂ Male,Koshi Province,Sunsari
Rohit Mahto,Janamat Party,Siraha-3,820,Declared,♂ Male,Madhesh Province,Siraha
Lakhana Kumara Thapa,Rastriya Swatantra Party,Rukum East-1,819,Declared,♂ Male,Lumbini Province,Rukum East
Jitendra Rai,Rastriya Parivartan Party,Bhojpur-1,812,Declared,♂ Male,Koshi Province,Bhojpur
Dharma Bahadur K.C.,Independent,Rupandehi-1,810,Declared,♂ Male,Lumbini Province,Rupandehi
Dilipa Kumara Sharma Nepal,Rastriya Prajatantra Party,Bara-4,809,Declared,♂ Male,Madhesh Province,Bara
Manoj Kumar Sah,Janamat Party,Mahottari-4,806,Declared,♂ Male,Madhesh Province,Mahottari
Buddha Lala Meche,Mongol National Organisation,Ilam-1,801,Declared,♂ Male,Koshi Province,Ilam
Ram Bahadur Thokar,Rastriya Prajatantra Party,Makwanpur-2,785,Declared,♂ Male,Bagmati Province,Makwanpur
Sanjay Rijal,Independent,Chitwan-1,784,Declared,♂ Male,Bagmati Province,Chitwan
Jhanak Pyakurel,Rastriya Prajatantra Party,Nuwakot-2,775,Declared,♂ Male,Bagmati Province,Nuwakot
Iraphana Ahamada Shekh,Rastriya Janmat Party,Banke-2,775,Declared,♂ Male,Lumbini Province,Banke
Amit Thapa,Shram Sanskriti Party,Kathmandu-5,769,Declared,♂ Male,Bagmati Province,Kathmandu
Kans Raj Rajbanshi,Rastriya Prajatantra Party,Morang-2,766,Declared,♂ Male,Koshi Province,Morang
Jay Prakash Raya,Janata Samajwadi Party Nepal,Sarlahi-3,766,Declared,♂ Male,Madhesh Province,Sarlahi
Rishi Kesh Pokhrel,Rastriya Prajatantra Party,Dang-2,760,Declared,♂ Male,Lumbini Province,Dang
Adhitya Chandra Thakali,Rastriya Swatantra Party,Mustang-1,759,Declared,♂ Male,Gandaki Province,Mustang
Maikala Tamang,Ujyalo Nepal Party,Kanchanpur-1,759,Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Vipina Kapar,Janamat Party,Sarlahi-2,756,Declared,♂ Male,Madhesh Province,Sarlahi
Bimal Thapa,Rastriya Prajatantra Party,Nuwakot-1,756,Declared,♂ Male,Bagmati Province,Nuwakot
Barun Amatya,Shram Sanskriti Party,Kathmandu-4,756,Declared,♂ Male,Bagmati Province,Kathmandu
Moto Lal Tamang,Ujyalo Nepal Party,Sindhuli-1,755,Declared,♂ Male,Bagmati Province,Sindhuli
Rama Bahadura Kevat,Independent,Parasi-2,752,Declared,♂ Male,Lumbini Province,Parasi
Divasa Raee,Rastriya Parivartan Party,Ilam-2,751,Declared,♂ Male,Koshi Province,Ilam
Tribhuvana Sah,आम जनता पार्टी(एकल चुनाव चिन्ह),Rautahat-1,751,Declared,♂ Male,Madhesh Province,Rautahat
Milan Thapa Magar,Shram Sanskriti Party,Chitwan-2,751,Declared,♂ Male,Bagmati Province,Chitwan
Raju Prasada Harijan,CPN (Maoist),Parasi-1,751,Declared,♂ Male,Lumbini Province,Parasi
Nanda Kumari Thapa,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Rupandehi-3,750,Declared,♀ Female,Lumbini Province,Rupandehi
Lakshmi Prasada Sa Kalavar,Rastriya Prajatantra Party,Bara-1,749,Declared,♂ Male,Madhesh Province,Bara
Bharata Sihan Vi.si.(budhakshetri),Rastriya Prajatantra Party,Kailali-2,744,Declared,♂ Male,Sudurpashchim Province,Kailali
Lakxman Kuar Yadav,Nepali Communist Party,Mahottari-2,737,Declared,♂ Male,Madhesh Province,Mahottari
Samid Khan,राष्ट्र निर्माण दल नेपाल,Sunsari-4,735,Declared,♂ Male,Koshi Province,Sunsari
Gopal Tamang,Ujyalo Nepal Party,Sunsari-2,734,Declared,♂ Male,Koshi Province,Sunsari
Prem Prasad Subedi,Rastriya Prajatantra Party,Morang-3,733,Declared,♂ Male,Koshi Province,Morang
Bhimasena Sutapraee Magar,Independent,Parasi-1,733,Declared,♂ Male,Lumbini Province,Parasi
Yamanath Ghimire,Janamat Party,Bardiya-1,712,Declared,♂ Male,Lumbini Province,Bardiya
Ramalalita Mandal,Nepali Communist Party,Dhanusha-3,709,Declared,♂ Male,Madhesh Province,Dhanusha
Jagadishwar Adhikari,Rastriya Prajatantra Party,Chitwan-2,707,Declared,♂ Male,Bagmati Province,Chitwan
Shyama Bahadura Limvu,Mongol National Organisation,Ilam-2,704,Declared,♂ Male,Koshi Province,Ilam
Bibhatsu Thapa,Rastriya Prajatantra Party,Dhankuta-1,703,Declared,♂ Male,Koshi Province,Dhankuta
Navaraja Satyal,Rastriya Prajatantra Party,Kavrepalanchok-1,699,Declared,♂ Male,Bagmati Province,Kavrepalanchok
Hukum Bahadur Rana,Rastriya Prajatantra Party,Syangja-1,698,Declared,♂ Male,Gandaki Province,Syangja
Dev Prasad Shrestha,National Republic Nepal,Palpa-2,693,Declared,♂ Male,Lumbini Province,Palpa
Anavara Ansari,Ujyalo Nepal Party,Bara-1,677,Declared,♂ Male,Madhesh Province,Bara
Dhan Bahadur Sunar,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Kailali-4,675,Declared,♂ Male,Sudurpashchim Province,Kailali
Sher Bahadur Thapa,Rastriya Janamorcha,Gulmi-1,671,Declared,♂ Male,Lumbini Province,Gulmi
Thaman Singh Resmi Magar,National Republic Nepal,Palpa-1,671,Declared,♂ Male,Lumbini Province,Palpa
Manisha Ddha,Ujyalo Nepal Party,Kaski-1,670,Declared,♀ Female,Gandaki Province,Kaski
Rajesha Sah,Janamat Party,Bara-2,668,Declared,♂ Male,Madhesh Province,Bara
Rajesh Chand,Rastriya Prajatantra Party,Darchula-1,666,Declared,♂ Male,Sudurpashchim Province,Darchula
Arjun Bashu,Shram Sanskriti Party,Bhaktapur-2,665,Declared,♂ Male,Bagmati Province,Bhaktapur
Umashankar Prasad Chaudhary,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Rupandehi-1,662,Declared,♂ Male,Lumbini Province,Rupandehi
Indra Kumar Bhusal,Nepali Communist Party,Kathmandu-4,657,Declared,♂ Male,Bagmati Province,Kathmandu
Rishiraja Dhamala,आम जनता पार्टी(एकल चुनाव चिन्ह),Rautahat-4,655,Declared,♂ Male,Madhesh Province,Rautahat
Sajina Karki,Rastriya Prajatantra Party,Lalitpur-1,652,Declared,♀ Female,Bagmati Province,Lalitpur
Tojman Gurung,Shram Sanskriti Party,Chitwan-3,650,Declared,♂ Male,Bagmati Province,Chitwan
Bikendra Rai,Mongol National Organisation,Morang-3,647,Declared,♂ Male,Koshi Province,Morang
Kamarullaha Ansari,Janamat Party,Bara-1,645,Declared,♂ Male,Madhesh Province,Bara
Mitrasen Yonjan,Ujyalo Nepal Party,Morang-3,643,Declared,♂ Male,Koshi Province,Morang
Bir Bahadur Rana,Shram Sanskriti Party,Surkhet-1,641,Declared,♂ Male,Karnali Province,Surkhet
Balram Tamang,Ujyalo Nepal Party,Gorkha-2,639,Declared,♂ Male,Gandaki Province,Gorkha
Raja Rama Pasavan,नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),Sarlahi-1,624,Declared,♂ Male,Madhesh Province,Sarlahi
Jita Rama Lama,Ujyalo Nepal Party,Bhaktapur-2,619,Declared,♂ Male,Bagmati Province,Bhaktapur
Saroj Rai,Shram Sanskriti Party,Lalitpur-2,608,Declared,♂ Male,Bagmati Province,Lalitpur
Rupa Devi Bista,Independent,Kanchanpur-1,608,Declared,♀ Female,Sudurpashchim Province,Kanchanpur
Arun Rai,Rastriya Parivartan Party,Udayapur-2,607,Declared,♂ Male,Koshi Province,Udayapur
Surya Bahadur Shahi,Rastriya Prajatantra Party,Kalikot-1,603,Declared,♂ Male,Karnali Province,Kalikot
Krishna Kumar Chaudhary,Sarbabhauma Nagarik Party,Sunsari-3,602,Declared,♂ Male,Koshi Province,Sunsari
Surya Narayan Raya Yadav,Rastriya Prajatantra Party,Sarlahi-1,601,Declared,♂ Male,Madhesh Province,Sarlahi
Jit Bahadur Gupta,Independent,Rupandehi-3,601,Declared,♂ Male,Lumbini Province,Rupandehi
Rana Bahadur Singh,Rastriya Prajatantra Party,Dailekh-1,598,Declared,♂ Male,Karnali Province,Dailekh
Ganesh Kumar Rai,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Udayapur-1,597,Declared,♂ Male,Koshi Province,Udayapur
Nanda Bahadur Shahi,Nepal Workers and Peasants Party,Kalikot-1,597,Declared,♂ Male,Karnali Province,Kalikot
Govind Giri,Shram Sanskriti Party,Pyuthan-1,594,Declared,♂ Male,Lumbini Province,Pyuthan
Khadak Bahadur Agrawal,Rastriya Prajatantra Party,Doti-1,594,Declared,♂ Male,Sudurpashchim Province,Doti
Damvara Lavati,Ujyalo Nepal Party,Sunsari-1,590,Declared,♂ Male,Koshi Province,Sunsari
Indra Bahadur Syangtan,Independent,Chitwan-2,590,Declared,♂ Male,Bagmati Province,Chitwan
Mukunda Karki,Shram Sanskriti Party,Kathmandu-2,588,Declared,♂ Male,Bagmati Province,Kathmandu
Mahesh‍vara Dahal,Independent,Sindhuli-2,586,Declared,♂ Male,Bagmati Province,Sindhuli
Hit Kaji Gurung,Shram Sanskriti Party,Kaski-3,586,Declared,♂ Male,Gandaki Province,Kaski
Ramachandra Chaudhari Tharu,Shram Sanskriti Party,Parasi-1,586,Declared,♂ Male,Lumbini Province,Parasi
Malati Kuari Kushwaha,Janamat Party,Parsa-3,583,Declared,♀ Female,Madhesh Province,Parsa
Sumar Hari Adhikari,Shram Sanskriti Party,Sarlahi-1,580,Declared,♂ Male,Madhesh Province,Sarlahi
Laksh‍mi Mukhiya,Independent,Dhanusha-2,579,Declared,♂ Male,Madhesh Province,Dhanusha
Jvala Nepala,Rastriya Prajatantra Party,Ilam-1,577,Declared,♀ Female,Koshi Province,Ilam
Kalpana Sharma,Nepali Communist Party,Kathmandu-5,574,Declared,♀ Female,Bagmati Province,Kathmandu
Prava Shrestha,Nepal Workers and Peasants Party,Kathmandu-5,574,Declared,♂ Male,Bagmati Province,Kathmandu
Vinoda Lueetel,CPN (Maoist),Kapilvastu-3,572,Declared,♂ Male,Lumbini Province,Kapilvastu
Shravana Pasavan,Ujyalo Nepal Party,Siraha-3,570,Declared,♂ Male,Madhesh Province,Siraha
Indrajita Kumara Yadab,Janamat Party,Dhanusha-4,568,Declared,♂ Male,Madhesh Province,Dhanusha
Ravina Pathak,Rastriya Prajatantra Party,Syangja-2,566,Declared,♂ Male,Gandaki Province,Syangja
Koshalal Gurung,Shram Sanskriti Party,Lamjung-1,565,Declared,♂ Male,Gandaki Province,Lamjung
Arjun Tamang,Ujyalo Nepal Party,Udayapur-1,564,Declared,♂ Male,Koshi Province,Udayapur
Hark Bahadur Pun,Shram Sanskriti Party,Baglung-2,564,Declared,♂ Male,Gandaki Province,Baglung
Chuda Karn Begha,Ujyalo Nepal Party,Jhapa-2,560,Declared,♂ Male,Koshi Province,Jhapa
Birendra Mahato,Janamat Party,Mahottari-1,560,Declared,♂ Male,Madhesh Province,Mahottari
Premwati Rana,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Kanchanpur-2,560,Declared,♀ Female,Sudurpashchim Province,Kanchanpur
Kapaleshvara Yadav,Janamat Party,Sunsari-4,558,Declared,♂ Male,Koshi Province,Sunsari
Ramesh Balla,Ujyalo Nepal Party,Bhaktapur-1,558,Declared,♂ Male,Bagmati Province,Bhaktapur
Shera Bahadura Vi K,CPN (Maoist),Achham-2,558,Declared,♂ Male,Sudurpashchim Province,Achham
Ammar Bahadur Budha,Mongol National Organisation,Dang-2,557,Declared,♂ Male,Lumbini Province,Dang
Umdeshowr Prasad Sahu,Rastriya Prajatantra Party,Saptari-3,556,Declared,♂ Male,Madhesh Province,Saptari
Rama Kant Chaudhary,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Saptari-4,550,Declared,♂ Male,Madhesh Province,Saptari
Kumod Raya,Rastriya Prajatantra Party,Morang-5,549,Declared,♂ Male,Koshi Province,Morang
Jham Bahadur Gurung,Rastriya Janamukti Party,Rupandehi-1,545,Declared,♂ Male,Lumbini Province,Rupandehi
Binod Kumar Mandal,Independent,Saptari-4,544,Declared,♂ Male,Madhesh Province,Saptari
Gore Tamang,Rastriya Prajatantra Party,Ramechhap-1,543,Declared,♂ Male,Bagmati Province,Ramechhap
Ajay Chaurasiya,Nepali Communist Party,Parsa-1,537,Declared,♂ Male,Madhesh Province,Parsa
Aditya Acharya,राष्ट्र निर्माण दल नेपाल,Sunsari-2,536,Declared,♂ Male,Koshi Province,Sunsari
Prem Shankar Shukla,Rastriya Prajatantra Party,Kapilvastu-3,536,Declared,♂ Male,Lumbini Province,Kapilvastu
Sunil Chaudhary Tharu,Progressive Democratic Party,Rupandehi-5,535,Declared,♂ Male,Lumbini Province,Rupandehi
Tika Prasad Chaulagain,Independent,Makwanpur-1,534,Declared,♂ Male,Bagmati Province,Makwanpur
Ni. Kumar Pakhrin,Ujyalo Nepal Party,Chitwan-2,533,Declared,♂ Male,Bagmati Province,Chitwan
Abhay Rajwanshi,Independent,Jhapa-3,531,Declared,♂ Male,Koshi Province,Jhapa
Bhuwan Tamata,Rastriya Swatantra Party,Mugu-1,530,Declared,♂ Male,Karnali Province,Mugu
Dhan Bahadur Shrestha,Shram Sanskriti Party,Kathmandu-10,528,Declared,♂ Male,Bagmati Province,Kathmandu
Durga Bahadur Malla,Rastriya Prajatantra Party,Parbat-1,525,Declared,♂ Male,Gandaki Province,Parbat
Mohammad Reza Hussain,Independent,Morang-5,523,Declared,♂ Male,Koshi Province,Morang
Kalyan Acharya,Rastriya Prajatantra Party,Baglung-1,523,Declared,♂ Male,Gandaki Province,Baglung
Bharat Malla,CPN (Maoist),Bajhang-1,520,Declared,♂ Male,Sudurpashchim Province,Bajhang
Bharat Chaudhary,Janata Samajwadi Party Nepal,Sarlahi-2,518,Declared,♂ Male,Madhesh Province,Sarlahi
Niraj Lama,Nepali Communist Party,Kathmandu-3,518,Declared,♂ Male,Bagmati Province,Kathmandu
Krishna Chandra Prasada Sah,Janata Samajwadi Party Nepal,Dhanusha-4,516,Declared,♂ Male,Madhesh Province,Dhanusha
Bharat Sah,Independent,Siraha-4,511,Declared,♂ Male,Madhesh Province,Siraha
Ram Narayan Adhikari,Rastriya Prajatantra Party,Sindhuli-1,510,Declared,♂ Male,Bagmati Province,Sindhuli
Shambhu Kapar,Independent,Mahottari-3,510,Declared,♂ Male,Madhesh Province,Mahottari
Manjil Rana,Ujyalo Nepal Party,Tanahun-1,508,Declared,♂ Male,Gandaki Province,Tanahun
Dipak Adhikari,Independent,Dhading-2,502,Declared,♂ Male,Bagmati Province,Dhading
Sita Vi.ka.,CPN (Maoist),Pyuthan-1,501,Declared,♀ Female,Lumbini Province,Pyuthan
Paramesh‍vara Saha Sudi,Janata Samajwadi Party Nepal,Dhanusha-3,500,Declared,♂ Male,Madhesh Province,Dhanusha
Ganesha Bahadura Chaudhari,Janamat Party,Parasi-1,500,Declared,♂ Male,Lumbini Province,Parasi
Susma Ale,Mongol National Organisation,Tanahun-2,495,Declared,♀ Female,Gandaki Province,Tanahun
Rama Mani Nyaupane,Rastriya Prajatantra Party,Sindhupalchok-1,490,Declared,♂ Male,Bagmati Province,Sindhupalchok
Ramkaji Rana Magar,Ujyalo Nepal Party,Gorkha-1,489,Declared,♂ Male,Gandaki Province,Gorkha
Piran Gurung,Shram Sanskriti Party,Syangja-1,489,Declared,♂ Male,Gandaki Province,Syangja
Sabita Yadav,Janata Samajwadi Party Nepal,Sunsari-4,486,Declared,♀ Female,Koshi Province,Sunsari
Naresh Kumar Lawati,Ujyalo Nepal Party,Jhapa-1,485,Declared,♂ Male,Koshi Province,Jhapa
Binod Budhathoki,Independent,Kathmandu-10,482,Declared,♂ Male,Bagmati Province,Kathmandu
Hari Bahadura Gurung,Ujyalo Nepal Party,Ilam-1,481,Declared,♂ Male,Koshi Province,Ilam
Samima Miya Ansari,राष्ट्र निर्माण दल नेपाल,Bara-4,481,Declared,♂ Male,Madhesh Province,Bara
Bishwa Nath Sharma,Independent,Rupandehi-4,479,Declared,♂ Male,Lumbini Province,Rupandehi
Dholram Barkoti,Rastriya Prajatantra Party,Sarlahi-3,478,Declared,♂ Male,Madhesh Province,Sarlahi
Dipaka Tamangg,Rastriya Prajatantra Party,Khotang-1,477,Declared,♂ Male,Koshi Province,Khotang
Hom Prasad Pokharel,Rastriya Prajatantra Party,Mahottari-1,475,Declared,♂ Male,Madhesh Province,Mahottari
Datta Tharu,आम जनता पार्टी(एकल चुनाव चिन्ह),Bardiya-1,475,Declared,♂ Male,Lumbini Province,Bardiya
Binod Thing,Mongol National Organisation,Rasuwa-1,474,Declared,♂ Male,Bagmati Province,Rasuwa
Dhruva Raj Tharu,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Banke-3,474,Declared,♂ Male,Lumbini Province,Banke
Indra Bahadur B.K,Shram Sanskriti Party,Sindhuli-2,471,Declared,♂ Male,Bagmati Province,Sindhuli
Binod Kumar Mandal,Independent,Mahottari-4,469,Declared,♂ Male,Madhesh Province,Mahottari
Phiroja Khan,Janamat Party,Banke-3,469,Declared,♂ Male,Lumbini Province,Banke
Suman Tamang,Mongol National Organisation,Dhading-1,468,Declared,♂ Male,Bagmati Province,Dhading
Mang Lal Shrestha,Ujyalo Nepal Party,Kathmandu-1,466,Declared,♂ Male,Bagmati Province,Kathmandu
Sarvendra Khanal,Rastriya Parivartan Party,Bara-4,464,Declared,♂ Male,Madhesh Province,Bara
Jay Kumar Pandeya,Janamat Party,Mahottari-2,463,Declared,♂ Male,Madhesh Province,Mahottari
Bharat Nidhi Tiwari,Shram Sanskriti Party,Banke-1,463,Declared,♂ Male,Lumbini Province,Banke
Santosh Kumar Tamang,Mongol National Organisation,Dhading-2,462,Declared,♂ Male,Bagmati Province,Dhading
Tark Bahadur Gurung,Ujyalo Nepal Party,Kaski-3,462,Declared,♂ Male,Gandaki Province,Kaski
Khim Bahadur Gharti Magar,CPN (Maoist),Arghakhanchi-1,459,Declared,♂ Male,Lumbini Province,Arghakhanchi
Khadga Bahadur Waiba,Independent,Sindhuli-2,458,Declared,♂ Male,Bagmati Province,Sindhuli
Mohan Kuwar Thapa Magar,Independent,Palpa-2,458,Declared,♂ Male,Lumbini Province,Palpa
Pitamvara Sinha Kushavaha,Ujyalo Nepal Party,Sarlahi-4,455,Declared,♂ Male,Madhesh Province,Sarlahi
Yashoda Gurung (Subedi),Nepali Communist Party,Manang-1,454,Declared,♀ Female,Gandaki Province,Manang
Gorakh Bahadur Air,Independent,Dadeldhura-1,453,Declared,♂ Male,Sudurpashchim Province,Dadeldhura
Harinandan Kumar Ranjan,नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),Sarlahi-4,452,Declared,♂ Male,Madhesh Province,Sarlahi
Labali Thapa,Shram Sanskriti Party,Kathmandu-6,448,Declared,♀ Female,Bagmati Province,Kathmandu
Maniram Bahadur Pradhan,Shram Sanskriti Party,Kathmandu-7,446,Declared,♂ Male,Bagmati Province,Kathmandu
Shanta Maharjan,Nepal Workers and Peasants Party,Kathmandu-9,443,Declared,♂ Male,Bagmati Province,Kathmandu
Dul Bahadur Kunwar,Rastriya Prajatantra Party,Palpa-2,440,Declared,♂ Male,Lumbini Province,Palpa
Babu Lal Yadav,Nepali Communist Party,Rupandehi-4,440,Declared,♂ Male,Lumbini Province,Rupandehi
Daroga Prasad Kurmi,Shram Sanskriti Party,Kapilvastu-1,439,Declared,♂ Male,Lumbini Province,Kapilvastu
Hasanajana Miya,Janamat Party,Bara-4,437,Declared,♂ Male,Madhesh Province,Bara
Santosh Tamang,Ujyalo Nepal Party,Jhapa-4,432,Declared,♂ Male,Koshi Province,Jhapa
Ait Raj Limbu,Janata Samajwadi Party Nepal,Dhankuta-1,432,Declared,♂ Male,Koshi Province,Dhankuta
Shanta Bir Lama,Mongol National Organisation,Sindhuli-2,432,Declared,♂ Male,Bagmati Province,Sindhuli
Bal Bahadur Darlami,Rastriya Janamorcha,Palpa-2,429,Declared,♂ Male,Lumbini Province,Palpa
Bishal Gupta,Janamat Party,Rupandehi-3,429,Declared,♂ Male,Lumbini Province,Rupandehi
Karbire Kadara,Nepal Humanist Party,Kailali-2,429,Declared,♂ Male,Sudurpashchim Province,Kailali
Muna Tamang,Nepal Workers and Peasants Party,Kavrepalanchok-2,428,Declared,♀ Female,Bagmati Province,Kavrepalanchok
Suryanath Prasad Yadav,Nepali Communist Party,Saptari-2,426,Declared,♂ Male,Madhesh Province,Saptari
Renchen Tamang,Mongol National Organisation,Nuwakot-2,426,Declared,♂ Male,Bagmati Province,Nuwakot
Samir Lama Tamang,Shram Sanskriti Party,Kathmandu-1,426,Declared,♂ Male,Bagmati Province,Kathmandu
Geeta Prasad Acharya,Rastriya Prajatantra Party,Dhading-1,425,Declared,♂ Male,Bagmati Province,Dhading
Bal Bahadur Oli,CPN (Maoist),Dang-3,425,Declared,♂ Male,Lumbini Province,Dang
Rajesha Mayala Vi.ka.,Independent,Kailali-2,423,Declared,♂ Male,Sudurpashchim Province,Kailali
Satya Jit Kumar Jha,Rastriya Prajatantra Party,Saptari-1,422,Declared,♂ Male,Madhesh Province,Saptari
Arbind Thakur,Janamat Party,Mahottari-3,421,Declared,♂ Male,Madhesh Province,Mahottari
Binita Kathayat,Rastriya Swatantra Party,Jumla-1,421,Declared,♀ Female,Karnali Province,Jumla
Sudha Ram Majhi,Janamat Party,Morang-6,420,Declared,♂ Male,Koshi Province,Morang
Mojib Ali Musalman,Rastriya Janamukti Party,Rupandehi-3,417,Declared,♂ Male,Lumbini Province,Rupandehi
Maniraj Bhatt,Rastriya Janamorcha,Doti-1,417,Declared,♂ Male,Sudurpashchim Province,Doti
Roshana Yadav,Independent,Dhanusha-3,416,Declared,♂ Male,Madhesh Province,Dhanusha
Nilu Kumari Chaudhary,Janamat Party,Rupandehi-1,416,Declared,♀ Female,Lumbini Province,Rupandehi
Ramkishor Singh,Ujyalo Nepal Party,Parsa-1,415,Declared,♂ Male,Madhesh Province,Parsa
Daneshwar Pandit,Rastriya Prajatantra Party,Pyuthan-1,415,Declared,♂ Male,Lumbini Province,Pyuthan
Dambar Bahadur Tamang,Ujyalo Nepal Party,Chitwan-3,414,Declared,♂ Male,Bagmati Province,Chitwan
Tulasi Raja Giri,Ujyalo Nepal Party,Rautahat-4,411,Declared,♂ Male,Madhesh Province,Rautahat
Sachitra Sahani,Independent,Sarlahi-4,410,Declared,♂ Male,Madhesh Province,Sarlahi
Sanjaya Kumara Harijan,United Citizens Party,Parasi-2,407,Declared,♂ Male,Lumbini Province,Parasi
Jagannath Chaudhary,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Kailali-5,406,Declared,♂ Male,Sudurpashchim Province,Kailali
Bishwa Prakash Jethara,Rastriya Prajatantra Party,Bajhang-1,405,Declared,♂ Male,Sudurpashchim Province,Bajhang
Shiva Bahadur Gurung,Mongol National Organisation,Rupandehi-1,402,Declared,♂ Male,Lumbini Province,Rupandehi
Tanka Bahadura Lama,Shram Sanskriti Party,Kavrepalanchok-2,400,Declared,♂ Male,Bagmati Province,Kavrepalanchok
Birsa Bahadur Rawat,Nepal Workers and Peasants Party,Jumla-1,400,Declared,♂ Male,Karnali Province,Jumla
