province,district,districtNp,code,name,nameNp,status,lastUpdated,votesCast,totalVoters
Gandaki,Parbat,पर्वत,4-पर्वत-1,Parbat-1,पर्वत क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,63203,125457
Lumbini,Rukum East,रुकुम (पूर्वी भाग),5-रुकुम (पूर्वी भाग)-1,Rukum East-1,रुकुम (पूर्वी भाग) क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,18246,106650
Lumbini,Rolpa,रोल्पा,5-रोल्पा-1,Rolpa-1,रोल्पा क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,65632,149596
Lumbini,Pyuthan,प्यूठान,5-प्यूठान-1,Pyuthan-1,प्यूठान क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,81146,165395
Karnali,Salyan,सल्यान,6-सल्यान-1,Salyan-1,सल्यान क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,79709,162444
Lumbini,Dang,दाङ,5-दाङ-1,Dang-1,दाङ क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,76389,139981
Lumbini,Dang,दाङ,5-दाङ-2,Dang-2,दाङ क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,79440,140938
Lumbini,Dang,दाङ,5-दाङ-3,Dang-3,दाङ क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,84841,150708
Karnali,Dolpa,डोल्पा,6-डोल्पा-1,Dolpa-1,डोल्पा क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,15506,24115
Karnali,Mugu,मुगु,6-मुगु-1,Mugu-1,मुगु क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,21225,36029
Karnali,Jumla,जुम्ला,6-जुम्ला-1,Jumla-1,जुम्ला क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,39173,71631
Karnali,Kalikot,कालिकोट,6-कालिकोट-1,Kalikot-1,कालिकोट क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,39377,84634
Karnali,Humla,हुम्ला,6-हुम्ला-1,Humla-1,हुम्ला क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,21935,34372
Karnali,Jajarkot,जाजरकोट,6-जाजरकोट-1,Jajarkot-1,जाजरकोट क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,57668,107074
Karnali,Dailekh,दैलेख,6-दैलेख-1,Dailekh-1,दैलेख क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,37846,79692
Karnali,Dailekh,दैलेख,6-दैलेख-2,Dailekh-2,दैलेख क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,36513,81495
